generation,individual_id,seed_value,raw_reward,shared_fitness
1,30,2039,-971.7686377730323,0.05210713906511314
1,30,2028,-940.9797230303603,0.05210713906511314
1,30,2119,-1548.4282057812604,0.05210713906511314
1,30,2060,-1807.529827281316,0.05210713906511314
1,31,2106,-992.0363890852907,0.06110803634257713
1,31,2039,-956.3820939192391,0.06110803634257713
1,31,2028,-971.3597638846442,0.06110803634257713
1,31,2119,-1556.7552222950815,0.06110803634257713
1,31,2060,-1781.3854636387443,0.06110803634257713
1,32,2106,-637.9825770321934,0.06698625798119051
1,32,2039,-890.6421151574037,0.06698625798119051
1,32,2028,-971.1817390445469,0.06698625798119051
1,32,2119,-1550.237655524884,0.06698625798119051
1,32,2060,-1780.6171647719734,0.06698625798119051
1,33,2106,-1208.0222725360481,0.04576048047979479
1,33,2039,-963.9009584749278,0.04576048047979479
1,33,2028,-1194.5428494042103,0.04576048047979479
1,33,2119,-1501.213117336549,0.04576048047979479
1,33,2060,-1816.1798078945333,0.04576048047979479
1,34,2106,-1057.4935409874684,0.050758406164117774
1,34,2039,-970.3953012612616,0.050758406164117774
1,34,2028,-880.3764990688222,0.050758406164117774
1,34,2119,-1535.2683157574436,0.050758406164117774
1,34,2060,-1815.4573704171512,0.050758406164117774
1,35,2106,-808.8938306313329,0.07617732271501486
1,35,2039,-1181.4247785198334,0.07617732271501486
1,35,2028,-973.1986858198683,0.07617732271501486
1,35,2119,-1578.3520426640664,0.07617732271501486
1,35,2060,-1732.6485921945655,0.07617732271501486
1,36,2106,-1178.337240781425,0.04343534173177343
1,36,2039,-973.6974096189364,0.04343534173177343
1,36,2028,-1007.778686291697,0.04343534173177343
1,36,2119,-1528.3394712281342,0.04343534173177343
1,36,2060,-1828.629803828029,0.04343534173177343
1,37,2106,-1261.2856020430504,0.03845197675720606
1,37,2039,-969.9852942095736,0.03845197675720606
1,37,2028,-1241.4518163709624,0.03845197675720606
1,37,2119,-1491.552064343614,0.03845197675720606
1,37,2060,-1835.282326855603,0.03845197675720606
1,38,2106,-1069.8764337728064,0.05435639256705716
1,38,2039,-970.2562979061627,0.05435639256705716
1,38,2028,-872.405037343296,0.05435639256705716
1,38,2119,-1542.531212762591,0.05435639256705716
1,38,2060,-1803.5759135985836,0.05435639256705716
1,39,2106,-1224.8267553142362,0.039452429560281194
1,39,2039,-969.2667033396029,0.039452429560281194
1,39,2028,-1210.5797985476397,0.039452429560281194
1,39,2119,-1490.0227181895134,0.039452429560281194
1,39,2060,-1835.0534302933988,0.039452429560281194
1,40,2106,-1253.8508170895245,0.040885811394483405
1,40,2039,-967.9087520321282,0.040885811394483405
1,40,2028,-1232.0421554597267,0.040885811394483405
1,40,2119,-1486.5871073249461,0.040885811394483405
1,40,2060,-1829.0742698315548,0.040885811394483405
1,41,2106,-894.4011068405738,0.08300901948565399
1,41,2039,-1221.1553561999328,0.08300901948565399
1,41,2028,-1051.5704478605985,0.08300901948565399
1,41,2119,-1597.4890006882945,0.08300901948565399
1,41,2060,-1702.0793752292147,0.08300901948565399
1,42,2106,-1185.6135724076514,0.04957449292206419
1,42,2039,-969.9500409281306,0.04957449292206419
1,42,2028,-1058.712779340612,0.04957449292206419
1,42,2119,-1525.0682666531038,0.04957449292206419
1,42,2060,-1808.0974031177989,0.04957449292206419
1,43,2106,-1115.2719914409072,0.049210322390968
1,43,2039,-971.1973065870761,0.049210322390968
1,43,2028,-861.8126237745403,0.049210322390968
1,43,2119,-1529.3842818567305,0.049210322390968
1,43,2060,-1819.124836781616,0.049210322390968
1,44,2106,-1203.7199713136881,0.04141123279891786
1,44,2039,-971.2956911553035,0.04141123279891786
1,44,2028,-1181.2907578517375,0.04141123279891786
1,44,2119,-1486.982154035234,0.04141123279891786
1,44,2060,-1831.2741899650339,0.04141123279891786
1,45,2106,-948.0901484810496,0.054908758142124404
1,45,2039,-971.1230191502984,0.054908758142124404
1,45,2028,-972.0227772771112,0.054908758142124404
1,45,2119,-1558.1203848110974,0.054908758142124404
1,45,2060,-1801.3940752776296,0.054908758142124404
1,46,2106,-859.8086162262779,0.06871055286890966
1,46,2039,-1043.4385938493517,0.06871055286890966
1,46,2028,-998.3396451648682,0.06871055286890966
1,46,2119,-1577.2226592365373,0.06871055286890966
1,46,2060,-1757.3865835687532,0.06871055286890966
1,47,2106,-874.4100463744816,0.05376022733943181
1,47,2039,-962.3613100511448,0.05376022733943181
1,47,2028,-961.9730837073042,0.05376022733943181
1,47,2119,-1535.4186484730217,0.05376022733943181
1,47,2060,-1810.7817887795584,0.05376022733943181
1,48,2106,-1223.945510684403,0.04018876678287082
1,48,2039,-967.520810835965,0.04018876678287082
1,48,2028,-1210.868142609271,0.04018876678287082
1,48,2119,-1496.8281727272395,0.04018876678287082
1,48,2060,-1832.2231289728759,0.04018876678287082
1,49,2106,-1050.640723318356,0.05087623089419713
1,49,2039,-971.9712542014488,0.05087623089419713
1,49,2028,-953.1253850226127,0.05087623089419713
1,49,2119,-1545.4865299074222,0.05087623089419713
1,49,2060,-1811.5209239326919,0.05087623089419713
1,50,2106,-1244.384040068731,0.04226274698923263
